NULL, n_msn_, false, false, SHIFT
spsay, n_msl_, true, false, REDUCE
vc_ip__30__, n_msl_, false, false, RIGHT ARC
n_msl_, zc, true, false, RIGHT ARC
zc, r__, true, false, SHIFT
r__, vm_is__30__, false, false, LEFT ARC
zc, vm_is__30__, true, false, RIGHT ARC
vm_is__30__, n_fsl_, true, false, RIGHT ARC
n_fsl_, zs, true, false, REDUCE
vm_is__30__, zs, true, false, REDUCE
zc, zs, true, false, REDUCE
n_msl_, zs, true, false, REDUCE
vc_ip__30__, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, p_10pn_, false, false, SHIFT
p_10pn_, n_mpn_, false, false, SHIFT
n_mpn_, cc_, false, false, LEFT ARC
p_10pn_, cc_, false, false, LEFT ARC
NULL, cc_, false, false, SHIFT
cc_, n_fpn_, false, false, RIGHT ARC
n_fpn_, vm_ip__30__, true, false, REDUCE
cc_, vm_ip__30__, false, false, LEFT ARC
NULL, vm_ip__30__, false, false, SHIFT
vm_ip__30__, zc, false, false, RIGHT ARC
zc, r__, true, false, SHIFT
r__, vm_ppmpn_p_, false, false, LEFT ARC
zc, vm_ppmpn_p_, true, false, RIGHT ARC
vm_ppmpn_p_, zs, true, false, REDUCE
zc, zs, true, false, REDUCE
vm_ip__30__, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, n_mpl_, false, false, SHIFT
n_mpl_, n_msn_, false, false, SHIFT
n_msn_, vc_ip__30__, false, false, LEFT ARC
n_mpl_, vc_ip__30__, false, false, SHIFT
vc_ip__30__, a_msn__, false, false, RIGHT ARC
a_msn__, zs, true, false, REDUCE
vc_ip__30__, zs, false, false, LEFT ARC
n_mpl_, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, n_msn_, false, false, SHIFT
n_msn_, vm_ip__30__, false, false, LEFT ARC
NULL, vm_ip__30__, false, false, SHIFT
vm_ip__30__, spsay, false, false, RIGHT ARC
spsay, n_fsa_, true, false, RIGHT ARC
n_fsa_, zc, true, false, REDUCE
spsay, zc, true, false, REDUCE
vm_ip__30__, zc, false, false, SHIFT
zc, cc_, false, false, LEFT ARC
vm_ip__30__, cc_, false, false, LEFT ARC
NULL, cc_, false, false, SHIFT
cc_, n_fsn_, false, false, SHIFT
n_fsn_, vm_ip__30__, false, false, LEFT ARC
cc_, vm_ip__30__, false, false, RIGHT ARC
vm_ip__30__, n_fpl_, true, false, RIGHT ARC
n_fpl_, zc, true, false, REDUCE
vm_ip__30__, zc, true, false, RIGHT ARC
zc, vm_ppfsn_p_, true, false, RIGHT ARC
vm_ppfsn_p_, zc, true, false, RIGHT ARC
zc, r__, true, false, SHIFT
r__, p_3msn_, false, false, SHIFT
p_3msn_, vm_ip__30__, false, false, LEFT ARC
r__, vm_ip__30__, false, false, LEFT ARC
zc, vm_ip__30__, true, false, RIGHT ARC
vm_ip__30__, zs, true, false, REDUCE
zc, zs, true, false, REDUCE
vm_ppfsn_p_, zs, true, false, REDUCE
zc, zs, true, false, REDUCE
vm_ip__30__, zs, true, false, REDUCE
cc_, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, n_mpl_, false, false, SHIFT
n_mpl_, n_msn_, false, false, SHIFT
n_msn_, vm_ip__30__, false, false, LEFT ARC
n_mpl_, vm_ip__30__, false, false, SHIFT
vm_ip__30__, spsay, false, false, RIGHT ARC
spsay, n__sa_, true, false, RIGHT ARC
n__sa_, zc, true, false, REDUCE
spsay, zc, true, false, REDUCE
vm_ip__30__, zc, false, false, SHIFT
zc, cc_, false, false, LEFT ARC
vm_ip__30__, cc_, false, false, LEFT ARC
n_mpl_, cc_, false, false, LEFT ARC
NULL, cc_, false, false, SHIFT
cc_, n_fsn_, false, false, SHIFT
n_fsn_, vm_ip__30__, false, false, LEFT ARC
cc_, vm_ip__30__, false, false, RIGHT ARC
vm_ip__30__, spsan, true, false, RIGHT ARC
spsan, n_msa_, true, false, RIGHT ARC
n_msa_, zc, true, false, REDUCE
spsan, zc, true, false, REDUCE
vm_ip__30__, zc, true, false, REDUCE
cc_, zc, false, false, SHIFT
zc, cc_, false, false, LEFT ARC
cc_, cc_, false, false, LEFT ARC
NULL, cc_, false, false, SHIFT
cc_, n_mpl_, false, false, SHIFT
n_mpl_, p_3mpn_, false, false, SHIFT
p_3mpn_, vm_ip__30__, false, false, LEFT ARC
n_mpl_, vm_ip__30__, false, false, LEFT ARC
cc_, vm_ip__30__, false, false, RIGHT ARC
vm_ip__30__, zs, true, false, REDUCE
cc_, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, n_fpl_, false, false, SHIFT
n_fpl_, vm_ip__30__, false, false, LEFT ARC
NULL, vm_ip__30__, false, false, SHIFT
vm_ip__30__, zc, false, false, SHIFT
zc, cc_, false, false, LEFT ARC
vm_ip__30__, cc_, false, false, LEFT ARC
NULL, cc_, false, false, SHIFT
cc_, n_fpl_, false, false, SHIFT
n_fpl_, vm_ip__30__, false, false, LEFT ARC
cc_, vm_ip__30__, false, false, RIGHT ARC
vm_ip__30__, zc, true, false, SHIFT
zc, cs_, false, false, LEFT ARC
vm_ip__30__, cs_, true, false, RIGHT ARC
cs_, n_fpl_, true, false, RIGHT ARC
n_fpl_, vc_ip__30__, true, false, REDUCE
cs_, vc_ip__30__, true, false, RIGHT ARC
vc_ip__30__, r__, true, false, RIGHT ARC
r__, zs, true, false, REDUCE
vc_ip__30__, zs, true, false, REDUCE
cs_, zs, true, false, REDUCE
vm_ip__30__, zs, true, false, REDUCE
cc_, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, i_, false, false, SHIFT
i_, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, i_, false, false, SHIFT
i_, zc, false, false, LEFT ARC
NULL, zc, false, false, SHIFT
zc, n_msn_, false, false, SHIFT
n_msn_, vm_is__30__, false, false, LEFT ARC
zc, vm_is__30__, false, false, SHIFT
vm_is__30__, p_0msa_, false, false, SHIFT
p_0msa_, zq, false, false, LEFT ARC
vm_is__30__, zq, false, false, RIGHT ARC
zq, n_fsg_, true, false, SHIFT
n_fsg_, n_msa_, false, false, LEFT ARC
zq, n_msa_, true, false, RIGHT ARC
n_msa_, zq, true, false, REDUCE
zq, zq, true, false, RIGHT ARC
zq, zs, true, false, REDUCE
zq, zs, true, false, REDUCE
vm_is__30__, zs, false, false, LEFT ARC
zc, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, p_3fsn_, false, false, SHIFT
p_3fsn_, vm_is__30__, false, false, LEFT ARC
NULL, vm_is__30__, false, false, SHIFT
vm_is__30__, zo, false, false, RIGHT ARC
zo, zq, true, false, RIGHT ARC
zq, vm_if__1p__, true, false, REDUCE
zo, vm_if__1p__, true, false, SHIFT
vm_if__1p__, zs, false, false, LEFT ARC
zo, zs, true, false, RIGHT ARC
zs, zq, true, false, REDUCE
zo, zq, true, false, RIGHT ARC
zq, NULL, true, false, REDUCE
zo, NULL, true, false, REDUCE
NULL, zq, false, false, SHIFT
zq, q_, false, false, RIGHT ARC
q_, zc, true, false, REDUCE
zq, zc, false, false, SHIFT
zc, r__, false, false, SHIFT
r__, r__, false, false, SHIFT
r__, vm_if__1p__, false, false, LEFT ARC
r__, vm_if__1p__, false, false, LEFT ARC
zc, vm_if__1p__, false, false, SHIFT
vm_if__1p__, r__, false, false, RIGHT ARC
r__, zc, true, false, REDUCE
vm_if__1p__, zc, false, false, LEFT ARC
zc, zc, false, false, LEFT ARC
zq, zc, false, false, RIGHT ARC
zc, zq, true, false, REDUCE
zq, zq, false, false, RIGHT ARC
zq, p_3msn_, true, false, REDUCE
zq, p_3msn_, false, false, SHIFT
p_3msn_, vm_is__30__, false, false, LEFT ARC
zq, vm_is__30__, false, false, LEFT ARC
NULL, vm_is__30__, false, false, SHIFT
vm_is__30__, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, n_fsn_, false, false, SHIFT
n_fsn_, vm_is__30__, false, false, SHIFT
vm_is__30__, zo, false, false, RIGHT ARC
zo, zq, true, false, RIGHT ARC
zq, q_, true, false, REDUCE
zo, q_, true, false, SHIFT
q_, vc_if__30__, false, false, SHIFT
vc_if__30__, r__, false, false, RIGHT ARC
r__, zs, true, false, REDUCE
vc_if__30__, zs, false, false, LEFT ARC
q_, zs, false, false, LEFT ARC
zo, zs, true, false, RIGHT ARC
zs, r__, true, false, REDUCE
zo, r__, true, false, SHIFT
r__, vm_if__30__, false, false, SHIFT
vm_if__30__, zc, false, false, LEFT ARC
r__, zc, false, false, LEFT ARC
zo, zc, true, false, RIGHT ARC
zc, zq, true, false, REDUCE
zo, zq, true, false, RIGHT ARC
zq, cc_, true, false, REDUCE
zo, cc_, true, false, REDUCE
vm_is__30__, cc_, false, false, LEFT ARC
n_fsn_, cc_, false, false, LEFT ARC
NULL, cc_, false, false, SHIFT
cc_, vp_is__30__, false, false, RIGHT ARC
vp_is__30__, vm_n0__00__, true, false, RIGHT ARC
vm_n0__00__, zs, true, false, REDUCE
vp_is__30__, zs, true, false, REDUCE
cc_, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, xn, false, false, SHIFT
xn, n_msn_, false, false, SHIFT
n_msn_, n_msn_, false, false, RIGHT ARC
n_msn_, xf, true, false, RIGHT ARC
xf, n_msn_, true, false, REDUCE
n_msn_, n_msn_, true, false, RIGHT ARC
n_msn_, vm_is__30__, true, false, REDUCE
n_msn_, vm_is__30__, true, false, REDUCE
n_msn_, vm_is__30__, false, false, SHIFT
vm_is__30__, xo, false, false, SHIFT
xo, n_fsa_, false, false, LEFT ARC
vm_is__30__, n_fsa_, false, false, RIGHT ARC
n_fsa_, cc_, true, false, REDUCE
vm_is__30__, cc_, false, false, LEFT ARC
n_msn_, cc_, false, false, LEFT ARC
xn, cc_, false, false, LEFT ARC
NULL, cc_, false, false, SHIFT
cc_, vm_is__30__, false, false, RIGHT ARC
vm_is__30__, spsgy, true, false, RIGHT ARC
spsgy, n_msg_, true, false, RIGHT ARC
n_msg_, xn, true, false, REDUCE
spsgy, xn, true, false, REDUCE
vm_is__30__, xn, true, false, SHIFT
xn, n_mpa_, false, false, LEFT ARC
vm_is__30__, n_mpa_, true, false, RIGHT ARC
n_mpa_, n_fsg_, true, false, SHIFT
n_fsg_, n_msg_, false, false, LEFT ARC
n_mpa_, n_msg_, true, false, RIGHT ARC
n_msg_, zs, true, false, REDUCE
n_mpa_, zs, true, false, REDUCE
vm_is__30__, zs, true, false, REDUCE
cc_, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, p_3msn_, false, false, SHIFT
p_3msn_, zc, false, false, RIGHT ARC
zc, p_000n_, true, false, SHIFT
p_000n_, r__, false, false, SHIFT
r__, vm_is__30__, false, false, LEFT ARC
p_000n_, vm_is__30__, false, false, LEFT ARC
zc, vm_is__30__, true, false, RIGHT ARC
vm_is__30__, n_mpg_, true, false, SHIFT
n_mpg_, n_fsa_, false, false, SHIFT
n_fsa_, zc, false, false, LEFT ARC
n_mpg_, zc, false, false, LEFT ARC
vm_is__30__, zc, true, false, RIGHT ARC
zc, n_msa_, true, false, RIGHT ARC
n_msa_, zc, true, false, REDUCE
zc, zc, true, false, REDUCE
vm_is__30__, zc, true, false, REDUCE
zc, zc, true, false, RIGHT ARC
zc, r__, true, false, REDUCE
zc, r__, true, false, REDUCE
p_3msn_, r__, false, false, SHIFT
r__, vt_ip__30__, false, false, LEFT ARC
p_3msn_, vt_ip__30__, false, false, LEFT ARC
NULL, vt_ip__30__, false, false, SHIFT
vt_ip__30__, n_fsd_, false, false, SHIFT
n_fsd_, rr_, false, false, LEFT ARC
vt_ip__30__, rr_, false, false, RIGHT ARC
rr_, n_fpl_, true, false, REDUCE
vt_ip__30__, n_fpl_, false, false, RIGHT ARC
n_fpl_, zs, true, false, REDUCE
vt_ip__30__, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, zq, false, false, SHIFT
zq, n_msg_, false, false, SHIFT
n_msg_, n_____, false, false, LEFT ARC
zq, n_____, false, false, SHIFT
n_____, n_mpg_, false, false, SHIFT
n_mpg_, n_msn_, false, false, LEFT ARC
n_____, n_msn_, false, false, LEFT ARC
zq, n_msn_, false, false, RIGHT ARC
n_msn_, zq, true, false, REDUCE
zq, zq, false, false, RIGHT ARC
zq, zb, true, false, REDUCE
zq, zb, false, false, RIGHT ARC
zb, r__, true, false, SHIFT
r__, n_msl_, false, false, SHIFT
n_msl_, zd, false, false, LEFT ARC
r__, zd, false, false, LEFT ARC
zb, zd, true, false, RIGHT ARC
zd, y, true, false, RIGHT ARC
y, zb, true, false, REDUCE
zd, zb, true, false, REDUCE
zb, zb, true, false, RIGHT ARC
zb, vm_ip__30__, true, false, REDUCE
zb, vm_ip__30__, true, false, REDUCE
zq, vm_ip__30__, false, false, LEFT ARC
NULL, vm_ip__30__, false, false, SHIFT
vm_ip__30__, n_mpg_, false, false, SHIFT
n_mpg_, n_fsa_, false, false, LEFT ARC
vm_ip__30__, n_fsa_, false, false, RIGHT ARC
n_fsa_, zc, true, false, REDUCE
vm_ip__30__, zc, false, false, SHIFT
zc, r__, false, false, LEFT ARC
vm_ip__30__, r__, false, false, LEFT ARC
NULL, r__, false, false, SHIFT
r__, n_fsg_, false, false, SHIFT
n_fsg_, n_fsn_, false, false, LEFT ARC
r__, n_fsn_, false, false, SHIFT
n_fsn_, zd, false, false, LEFT ARC
r__, zd, false, false, RIGHT ARC
zd, n_msg_, true, false, RIGHT ARC
n_msg_, zs, true, false, REDUCE
zd, zs, true, false, REDUCE
r__, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, n_msn_, false, false, SHIFT
n_msn_, zd, false, false, LEFT ARC
NULL, zd, false, false, SHIFT
zd, y, false, false, SHIFT
y, a_msn__, false, false, SHIFT
a_msn__, n_msn_, false, false, LEFT ARC
y, n_msn_, false, false, LEFT ARC
zd, n_msn_, false, false, RIGHT ARC
n_msn_, zs, true, false, REDUCE
zd, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, p_10pn_, false, false, SHIFT
p_10pn_, vm_ip__1p__, false, false, LEFT ARC
NULL, vm_ip__1p__, false, false, SHIFT
vm_ip__1p__, zc, false, false, RIGHT ARC
zc, r__, true, false, RIGHT ARC
r__, zs, true, false, REDUCE
zc, zs, true, false, REDUCE
vm_ip__1p__, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, vm_n0__00__, false, false, SHIFT
vm_n0__00__, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, i_, false, false, SHIFT
i_, sppdn, false, false, RIGHT ARC
sppdn, n_fpd_, true, false, RIGHT ARC
n_fpd_, zs, true, false, REDUCE
sppdn, zs, true, false, REDUCE
i_, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, p_0fpn_, false, false, SHIFT
p_0fpn_, n_fpn_, false, false, LEFT ARC
NULL, n_fpn_, false, false, SHIFT
n_fpn_, cs_, false, false, LEFT ARC
NULL, cs_, false, false, SHIFT
cs_, n_fpn_, false, false, SHIFT
n_fpn_, zc, false, false, LEFT ARC
cs_, zc, false, false, RIGHT ARC
zc, n_fpn_, true, false, SHIFT
n_fpn_, cc_, false, false, LEFT ARC
zc, cc_, true, false, RIGHT ARC
cc_, n_fpn_, true, false, RIGHT ARC
n_fpn_, vc_ip__30__, true, false, REDUCE
cc_, vc_ip__30__, true, false, REDUCE
zc, vc_ip__30__, true, false, REDUCE
cs_, vc_ip__30__, false, false, LEFT ARC
NULL, vc_ip__30__, false, false, SHIFT
vc_ip__30__, vm_pdfpn_p_, false, false, RIGHT ARC
vm_pdfpn_p_, zs, true, false, REDUCE
vc_ip__30__, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, n_msd_, false, false, SHIFT
n_msd_, vo_ip__30__, false, false, LEFT ARC
NULL, vo_ip__30__, false, false, SHIFT
vo_ip__30__, vm_n0__00__, false, false, RIGHT ARC
vm_n0__00__, q_, true, false, REDUCE
vo_ip__30__, q_, false, false, SHIFT
q_, r__, false, false, LEFT ARC
vo_ip__30__, r__, false, false, SHIFT
r__, cs_, false, false, LEFT ARC
vo_ip__30__, cs_, false, false, SHIFT
cs_, m__mpa_, false, false, LEFT ARC
vo_ip__30__, m__mpa_, false, false, SHIFT
m__mpa_, n_mpa_, false, false, LEFT ARC
vo_ip__30__, n_mpa_, false, false, RIGHT ARC
n_mpa_, zs, true, false, REDUCE
vo_ip__30__, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, n_fsn_, false, false, SHIFT
n_fsn_, vm_is__30__, false, false, LEFT ARC
NULL, vm_is__30__, false, false, SHIFT
vm_is__30__, spsan, false, false, RIGHT ARC
spsan, r__, true, false, SHIFT
r__, cs_, false, false, RIGHT ARC
cs_, vm_pdfsa_p_, true, false, REDUCE
r__, vm_pdfsa_p_, false, false, LEFT ARC
spsan, vm_pdfsa_p_, true, false, SHIFT
vm_pdfsa_p_, n_fsa_, false, false, LEFT ARC
spsan, n_fsa_, true, false, RIGHT ARC
n_fsa_, zs, true, false, REDUCE
spsan, zs, true, false, REDUCE
vm_is__30__, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, n_fsl_, false, false, SHIFT
n_fsl_, r__, false, false, SHIFT
r__, cs_, false, false, LEFT ARC
n_fsl_, cs_, false, false, RIGHT ARC
cs_, r__, true, false, SHIFT
r__, r__, false, false, LEFT ARC
cs_, r__, true, false, RIGHT ARC
r__, n_mdn_, true, false, REDUCE
cs_, n_mdn_, true, false, REDUCE
n_fsl_, n_mdn_, false, false, SHIFT
n_mdn_, vm_ip__30__, false, false, LEFT ARC
n_fsl_, vm_ip__30__, false, false, LEFT ARC
NULL, vm_ip__30__, false, false, SHIFT
vm_ip__30__, r__, false, false, SHIFT
r__, vm_n0__00__, false, false, LEFT ARC
vm_ip__30__, vm_n0__00__, false, false, RIGHT ARC
vm_n0__00__, zs, true, false, REDUCE
vm_ip__30__, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, p_10sn_, false, false, SHIFT
p_10sn_, vc_ip__1s__, false, false, LEFT ARC
NULL, vc_ip__1s__, false, false, SHIFT
vc_ip__1s__, vt_pdfsn_s_, false, false, RIGHT ARC
vt_pdfsn_s_, a_fsn__, true, false, RIGHT ARC
a_fsn__, zs, true, false, REDUCE
vt_pdfsn_s_, zs, true, false, REDUCE
vc_ip__1s__, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, p_3msn_, false, false, SHIFT
p_3msn_, vo_ip__30__, false, false, LEFT ARC
NULL, vo_ip__30__, false, false, SHIFT
vo_ip__30__, vt_n0__00__, false, false, RIGHT ARC
vt_n0__00__, a_msn__, true, false, RIGHT ARC
a_msn__, zs, true, false, REDUCE
vt_n0__00__, zs, true, false, REDUCE
vo_ip__30__, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, n_msn_, false, false, SHIFT
n_msn_, vc_is__30__, false, false, LEFT ARC
NULL, vc_is__30__, false, false, SHIFT
vc_is__30__, a_msn__, false, false, SHIFT
a_msn__, cc_, false, false, LEFT ARC
vc_is__30__, cc_, false, false, RIGHT ARC
cc_, a_msn__, true, false, RIGHT ARC
a_msn__, zs, true, false, REDUCE
cc_, zs, true, false, REDUCE
vc_is__30__, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, p_10sd_, false, false, SHIFT
p_10sd_, vm_ip__30__, false, false, SHIFT
vm_ip__30__, a_fsn__, false, false, SHIFT
a_fsn__, n_fsn_, false, false, LEFT ARC
vm_ip__30__, n_fsn_, false, false, RIGHT ARC
n_fsn_, cc_, true, false, REDUCE
vm_ip__30__, cc_, false, false, LEFT ARC
p_10sd_, cc_, false, false, LEFT ARC
NULL, cc_, false, false, SHIFT
cc_, r__, false, false, SHIFT
r__, vm_if__30__, false, false, LEFT ARC
cc_, vm_if__30__, false, false, RIGHT ARC
vm_if__30__, q_, true, false, RIGHT ARC
q_, n_msn_, true, false, REDUCE
vm_if__30__, n_msn_, true, false, RIGHT ARC
n_msn_, zs, true, false, REDUCE
vm_if__30__, zs, true, false, REDUCE
cc_, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, p_10sd_, false, false, SHIFT
p_10sd_, vm_ip__30__, false, false, SHIFT
vm_ip__30__, zs, false, false, LEFT ARC
p_10sd_, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, n_fsd_, false, false, SHIFT
n_fsd_, vm_pu000_0_, false, false, LEFT ARC
NULL, vm_pu000_0_, false, false, SHIFT
vm_pu000_0_, zc, false, false, LEFT ARC
NULL, zc, false, false, SHIFT
zc, n_mpn_, false, false, SHIFT
n_mpn_, vp_is__30__, false, false, LEFT ARC
zc, vp_is__30__, false, false, SHIFT
vp_is__30__, vm_n0__00__, false, false, RIGHT ARC
vm_n0__00__, cc_, true, false, REDUCE
vp_is__30__, cc_, false, false, LEFT ARC
zc, cc_, false, false, LEFT ARC
NULL, cc_, false, false, SHIFT
cc_, vc_is__30__, false, false, RIGHT ARC
vc_is__30__, a_msn__, true, false, RIGHT ARC
a_msn__, zs, true, false, REDUCE
vc_is__30__, zs, true, false, REDUCE
cc_, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, spsay, false, false, SHIFT
spsay, n_fsa_, false, false, RIGHT ARC
n_fsa_, zc, true, false, REDUCE
spsay, zc, false, false, SHIFT
zc, n_fpg_, false, false, SHIFT
n_fpg_, n_mpd_, false, false, LEFT ARC
zc, n_mpd_, false, false, SHIFT
n_mpd_, r__, false, false, SHIFT
r__, vm_pu000_0_, false, false, LEFT ARC
n_mpd_, vm_pu000_0_, false, false, LEFT ARC
zc, vm_pu000_0_, false, false, RIGHT ARC
vm_pu000_0_, cc_, true, false, REDUCE
zc, cc_, false, false, LEFT ARC
spsay, cc_, false, false, SHIFT
cc_, vm_pu000_0_, false, false, SHIFT
vm_pu000_0_, a_fpa__, false, false, SHIFT
a_fpa__, n_fpa_, false, false, LEFT ARC
vm_pu000_0_, n_fpa_, false, false, RIGHT ARC
n_fpa_, zc, true, false, REDUCE
vm_pu000_0_, zc, false, false, LEFT ARC
cc_, zc, false, false, RIGHT ARC
zc, vm_ip__30__, true, false, REDUCE
cc_, vm_ip__30__, false, false, LEFT ARC
spsay, vm_ip__30__, false, false, LEFT ARC
NULL, vm_ip__30__, false, false, SHIFT
vm_ip__30__, a_fsg__, false, false, SHIFT
a_fsg__, n_fsg_, false, false, LEFT ARC
vm_ip__30__, n_fsg_, false, false, SHIFT
n_fsg_, n_fsn_, false, false, LEFT ARC
vm_ip__30__, n_fsn_, false, false, RIGHT ARC
n_fsn_, zs, true, false, REDUCE
vm_ip__30__, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, vm_pdmsn_s_, false, false, SHIFT
vm_pdmsn_s_, cc_, false, false, LEFT ARC
NULL, cc_, false, false, SHIFT
cc_, vm_pdmsn_s_, false, false, RIGHT ARC
vm_pdmsn_s_, n_msa_, true, false, REDUCE
cc_, n_msa_, false, false, RIGHT ARC
n_msa_, zc, true, false, REDUCE
cc_, zc, false, false, LEFT ARC
NULL, zc, false, false, SHIFT
zc, n_msn_, false, false, SHIFT
n_msn_, p_3msa_, false, false, SHIFT
p_3msa_, vm_is__30__, false, false, LEFT ARC
n_msn_, vm_is__30__, false, false, LEFT ARC
zc, vm_is__30__, false, false, LEFT ARC
NULL, vm_is__30__, false, false, SHIFT
vm_is__30__, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, p_10sd_, false, false, SHIFT
p_10sd_, vm_d0__00__, false, false, SHIFT
vm_d0__00__, r__, false, false, RIGHT ARC
r__, zs, true, false, REDUCE
vm_d0__00__, zs, false, false, LEFT ARC
p_10sd_, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, r__, false, false, SHIFT
r__, n_fsn_, false, false, SHIFT
n_fsn_, vc_ip__30__, false, false, LEFT ARC
r__, vc_ip__30__, false, false, LEFT ARC
NULL, vc_ip__30__, false, false, SHIFT
vc_ip__30__, spsay, false, false, RIGHT ARC
spsay, n_fsa_, true, false, RIGHT ARC
n_fsa_, zs, true, false, REDUCE
spsay, zs, true, false, REDUCE
vc_ip__30__, zs, false, false, LEFT ARC
NULL, zs, false, false, SHIFT
NULL, p_10sd_, false, false, SHIFT
p_10sd_, vm_is__30__, false, false, SHIFT
vm_is__30__, n_msl_, false, false, RIGHT ARC
n_msl_, zc, true, false, REDUCE
vm_is__30__, zc, false, false, SHIFT
zc, cs_, false, false, LEFT ARC
vm_is__30__, cs_, false, false, RIGHT ARC
cs_, vo_ip__30__, true, false, RIGHT ARC
vo_ip__30__, vm_n0__00__, true, false, RIGHT ARC
vm_n0__00__, n_fsa_, true, false, REDUCE
vo_ip__30__, n_fsa_, true, false, RIGHT ARC
n_fsa_, zs, true, false, REDUCE
vo_ip__30__, zs, true, false, REDUCE
cs_, zs, true, false, REDUCE
